isolate,oil,reps,mean,Std_dev,Median,Min,Max,mode,geo_mean,farm,ST,CC,cODtreated,Biofilmcattreated,Biofilmtreated,cODuntreated,Biofilmcatuntreated,Biofilmuntreated,WGS,biofilmtxstudy,DDzoneDia,PPGMIC,Ddcat,MICcat,logGeoMean
02-03,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,2,8,8,1.3953,4,1,0.0302,1,0,no,yes,16,1,R,R,-5.0734
10-16,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,10,8,8,0.2487,3,1,0.0322,1,0,no,no,18,0.25,R,R,-5.3219
10-17,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,10,8,8,0.1556,2,1,0.0318,1,0,no,no,19,0.25,R,R,-5.3219
10-19,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,10,8,8,0.0343,1,0,0.0167,1,0,no,yes,17,0.5,R,R,-5.3219
31-08,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,31,8,8,1.158,4,1,0.0647,1,0,no,yes,16,1,R,R,-5.3219
21-05,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,21,97,97,0.0701,1,0,0.0583,1,0,no,no,13,16,R,R,-5.3219
21-07,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,21,97,97,0.0154,1,0,0.0318,1,0,no,no,12,4,R,R,-5.3219
03-02,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,3,352,97,0.0104,1,0,0.1559,2,1,no,no,37,0.125,S,S,-5.0734
03-05,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,3,352,97,0.1126,2,1,0.3538,3,1,no,no,40,0.125,S,S,-5.0734
04-02,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,4,352,97,0.121,2,1,0.2893,3,1,no,no,36,0.125,S,S,-5.0734
06-02,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,6,352,97,0.0756,1,0,0.1596,2,1,no,no,44,0.125,S,S,-5.3219
08-10,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,8,352,97,0.0184,1,0,0.0644,1,0,no,no,37,0.125,S,S,-5.3219
09-06,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,9,352,97,0.0363,1,0,0.1253,2,1,no,no,40,0.125,S,S,-5.8201
21-02,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,21,352,97,0.651,4,1,0.2652,3,1,no,yes,37,0.125,S,S,-5.3219
23-04,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,23,352,97,0.2641,3,1,0.4761,4,1,no,yes,40,0.125,S,S,-5.3219
24-17,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,24,352,97,0.4891,4,1,0.4583,4,1,no,yes,34,0.125,S,S,-5.3219
26-02,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,26,352,97,0.2798,3,1,0.2554,3,1,no,no,36,0.125,s,S,-5.8201
