housing	scc_cat	bact_cat	cases	cases2
Bedded-pack	1	1	0.000217439	2.174385736
Bedded-pack	1	1	0.000276926	2.769264852
Bedded-pack	3	1	0.000108719	1.087192868
Bedded-pack	3	2	0.000652316	6.523157208
Free-stall	1	2	0.000202164	2.021639631
Free-stall	2	1	0.000627227	6.272266546
Free-stall	4	1	0.000611546	6.115459883
Free-stall	2	1	0.001102505	11.02505444
Free-stall	4	2	0.000326158	3.261578604
Free-stall	1	2	0.000674809	6.748093664
Tie-stall	2	1	0.000174727	1.747274252
Tie-stall	3	2	0.000989167	9.891672816
Tie-stall	2	1	0.000260926	2.609262883
Tie-stall	2	1	0.00069891	6.989097009
Tie-stall	1	2	0.000296507	2.965071458
Tie-stall	1	1	0.00046594	4.659398006
Tie-stall	2	2	0.000513397	5.133966321
Tie-stall	2	1	0.000724795	7.247952453
Tie-stall	2	1	0.000422087	4.220866429
