group	mean_cfu	log10_cfu	delta_cfu	log10_delta_cfu
SBM+EDDI	175000000	8.243038	174760000	8.242442036
SBM+EDDI	135000000	8.130334	134680000	8.129303108
SBM+EDDI	330000000	8.518514	329730000	8.518158463
SBM+EDDI	225000000	8.352183	224615000	8.351438755
SBM+KM	245000000	8.389166	244365000	8.388039003
SBM+KM	295000000	8.469822	294790000	8.469512747
SBM+KM	185000000	8.267172	184695000	8.266455139
SBM+KM	370000000	8.568202	369825000	8.567996266
CM+EDDI	340000000	8.531479	339475000	8.530807797
CM+EDDI	380000000	8.579784	379640000	8.579371965
CM+EDDI	195000000	8.290035	194465000	8.288841448
CM+EDDI	705000000	8.848189	704860000	8.848102866
CM+KM	460000000	8.662758	459795000	8.662564244
CM+KM	826333333	8.917155	825848333	8.916900297
CM+KM	515000000	8.711807	514680000	8.711537292
CM+KM	360000000	8.556303	359780000	8.556037017
